Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.429083824157715
50,5,1e-06,SA,2265.238905008556,21,21,3.0034921169281006
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,3.102905035018921
50,5,1e-06,SA,2294.2944471061587,22,22,2.5544371604919434
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.3525688648223877
50,5,1e-06,SA,2280.9998736998673,22,22,2.678985118865967
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,3.1267263889312744
50,5,1e-06,SA,2251.438025409001,22,22,3.0075714588165283
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.304163932800293
50,5,1e-06,SA,2299.064110605191,22,22,2.520871877670288
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.774726629257202
50,5,1e-06,SA,2306.4993947211256,23,23,3.4427504539489746
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.5364394187927246
50,5,1e-06,SA,2249.297006246797,21,21,2.379284143447876
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,2.3719258308410645
50,5,1e-06,SA,2251.991286748135,21,21,2.550096273422241
50,5,1e-06,Adaptive SA,2222.2541344803108,20,20,3.0773422718048096
50,6,1e-06,Greedy,2338.57841284483,22,22,0.006258726119995117
50,6,1e-06,SA,2338.57841284483,22,22,2.820568323135376
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.436836004257202
50,6,1e-06,SA,2364.090987520064,23,23,2.565234422683716
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.419834852218628
50,6,1e-06,SA,2357.7507334268785,23,23,3.722407102584839
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.350919008255005
50,6,1e-06,SA,2338.57841284483,22,22,2.5719897747039795
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.332158088684082
50,6,1e-06,SA,2338.57841284483,22,22,2.5091912746429443
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,3.2565462589263916
50,6,1e-06,SA,2338.57841284483,22,22,2.5288290977478027
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.32031512260437
50,6,1e-06,SA,2338.57841284483,22,22,2.514972686767578
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.3467345237731934
50,6,1e-06,SA,2372.1052884770766,23,23,3.607726812362671
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.5087099075317383
50,6,1e-06,SA,2369.6863183358164,23,23,2.549729108810425
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,2.381098747253418
50,6,1e-06,SA,2338.57841284483,22,22,2.4825754165649414
50,6,1e-06,Adaptive SA,2338.57841284483,22,22,3.465513229370117
50,7,1e-06,Greedy,2185.2038866605253,21,21,0.00479435920715332
50,7,1e-06,SA,2218.340165453595,22,22,2.492854595184326
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.291435718536377
50,7,1e-06,SA,2262.8807552074145,23,23,2.43963623046875
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.400502920150757
50,7,1e-06,SA,2263.851601350727,23,23,3.718362331390381
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.3077049255371094
50,7,1e-06,SA,2259.6175008617624,23,23,2.506810426712036
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.374558925628662
50,7,1e-06,SA,2225.71554746468,22,22,2.5376904010772705
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,3.3299973011016846
50,7,1e-06,SA,2228.688938214798,22,22,2.4679031372070312
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.3252997398376465
50,7,1e-06,SA,2254.8474848118053,23,23,2.4992387294769287
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.343672513961792
50,7,1e-06,SA,2209.560750555148,22,22,3.679270029067993
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.3972859382629395
50,7,1e-06,SA,2260.0555356835657,23,23,2.5821850299835205
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,2.450216770172119
50,7,1e-06,SA,2227.2928914922472,22,22,3.0919675827026367
50,7,1e-06,Adaptive SA,2185.203886660525,21,21,3.0145230293273926
50,8,1e-06,Greedy,2367.941128364808,20,20,0.0041065216064453125
50,8,1e-06,SA,2416.917676525788,22,22,2.461437702178955
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.250638246536255
50,8,1e-06,SA,2421.390350229208,22,22,2.672661304473877
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.5932698249816895
50,8,1e-06,SA,2409.8979481682454,21,21,3.1723806858062744
50,8,1e-06,Adaptive SA,2367.9411283648074,20,20,2.3777177333831787
